Snapshot Variable Name,Snapshot Longname,Longname Location,Snapshot Units,Accepted Units,CCPP Standard Name,Accepted,Pushed to ESCOMP,Flag for future work,Flag to skip/deprecate,Notes,Andrew G Description,,,
pbuf_MU,Size distribution shape parameter for radiation,micro_pumas_cam.F90: line 1470,1,X,size_distribution_shape_parameter_for_microphysics,,,,,,,,,
pbuf_N2O,,pbuf_get_field call in rad_constituents.F90: line 487,,,,,,,,,,,,
pbuf_NAAI,ice nucleation number,micro_pumas_cam.F90: line 1443,kg-1,CONTINUE UNITS HERE!!!!!!!,number_of_activated_ice_nuclei,,,,,,,,,
pbuf_NAAI_HOM,ice nucleation number (homogeneous),micro_pumas_cam.F90: line 1444,kg-1,,number_of_activated_ice_nuclei_due_to_homogenous_freezing,,,,,,,,,
pbuf_NACON,"number in each dust bin, for contact freezing  (from microp_aero_ts)",micro_pumas_v1.F90: line 695,m-3,,dust_number_concetnration_by_size_bin_for_contact_freezing,,,,,,,,,
pbuf_NAER, aerosol number MR (bounded!),model_aero_calcsize.F90: line 1423,kg-air-1?,,,,,,,,,,,
pbuf_NEVAPR,Evaporation of total precipitation (rain + snow),micro_pumas_cam.F90: line 1464,,,precipitation_evaporation_due_to_microphysics,,,,,,,,,
pbuf_NEVAPR_DPCU,Evaporation of deep convective precipitation,convect_deep.F90: line 459,,,precipitation_evaporation_due_to_deep_convection,,,,,,,,,
pbuf_NEVAPR_SHCU,Evaporation of shallow convective precipitation >= 0,convect_shallow.F90: line 460,,,precipitation_evaporation_due_to_shallow_convection,,,,,,,,,
pbuf_NPCCN,liquid activation number tendency,micro_pumas_cam.F90: line 1445,,,liquid_drop_activation_number_tendecy,,,,,,,,,
pbuf_O2,,pbuf_get_field call in rad_constituents.F90: line 487,,,,,,,,,,,,
pbuf_PRAIN,Total precipitation (rain + snow),micro_pumas_cam.F90: line 1468,,,precipitation_due_to_microphysics,,,,,,,,,
pbuf_PREC_DP,total precipitation,convect_deep.F90: line 198,m s-1,X,lwe_precipitation_rate_at_surface_due_to_deep_convection,X,,convective_precipitation_rate(iap_dom),,,,,,
pbuf_PREC_PCW,Sfc flux of precip from microphysics,micro_pumas_cam.F90: line 1456,m s-1,,lwe_stratiform_precipitation_rate_at_surface,,,,,,,,,
pbuf_PREC_SED,Surface flux of total cloud water from sedimentation,micro_pumas_cam.F90: line 1454,,,stratiform_cloud_water_surface_flux_due_to_sedimentation,,,,,,,,,
pbuf_PREC_SH,Shallow convective precipitation (rain+snow) rate at surface,convect_shallow.F90: line 407,,,,,,,,,,,,
pbuf_PREC_STR,[Total] Sfc flux of precip from stratiform,micro_pumas_cam.F90: line 1452,m s-1,,stratiform_rain_and_snow_surface_flux_due_to_sedimentation,,,,,,,,,
pbuf_PRER_EVAP,precipitation evaporation rate,micro_pumas_cam.F90: line 1465,,,precipitation_evaporation_rate_due_to_microphysics,,,,,,,,,
pbuf_PSL,sea level pressure,cam_diagnostics.F90: line 967,Pa,,,,,,,,,,,
pbuf_QAERWAT,aerosol water,modal_aer_opt.F90: line 500,g g-1,,,,,,,,,,,
pbuf_QINI,,addfld call in cam/physpkg.F90: line 207,,,,,,,,,,,,
pbuf_QIST,Physical in-stratus IWC,clubb_intr.F90: line 2336,kg kg-1,,stratiform_cloud_ice_water_content,X,,,,,,,,
pbuf_QLST,Physical in-stratus LWC,clubb_intr.F90: line 2335,kg kg-1,,stratiform_cloud_liquid_water_content,X,,,,,,,,
pbuf_QME,Net micro_pumas_cam condensation rate,micro_pumas_cam.F90: line 2399,,,net_condensation_rate_due_to_microphysics,,,,,,,,,
pbuf_QRL,longwave  radiative heating rate,rrtmg/radiation.F90: line 794,K s-1,,,,,,,,,,,
pbuf_QRS,shortwave radiative heating rate,rrtmg/radiation.F90: line 793,K s-1,,,,,,,,,,,
pbuf_QSATFAC,Subgrid cloud water saturation scaling factor,micro_pumas_cam.F90: line 1460,,,subgrid_cloud_water_saturation_scaling_factor_for_microphysics,,,,,,,,,
pbuf_RAD_CLUBB,,addfld call in cam/clubb_intr.F90: line 514,,,,,,,,,,,,
pbuf_RATE1_CW2PR_ST,1st order rate for direct conversion of strat. cloud water to precip,micro_pumas_cam.F90: line 1569,s-1,,direct_conversion_rate_of_stratiform_cloud_water_to_precipitation_for_scavenging,,,,,,,,,
pbuf_RCM,CLUBB cloud water mixing ratio ,clubb_intr.F90: line 2326,kg kg-1,,cloud_water_mixing_ratio_wrt_dry_air_due_to_clubb,X,,,,,,,,
pbuf_RC_COEF,Coef. of X'r_c' in Eq. (34) (thermodynamic levels),clubb_intr.F90: line 2318,,,factor_converting_from_liquid_cloud_water_moment_to_component_of_virtual_potential_temperature_moment,X,,,,,,,,
pbuf_REI,Ice effective drop size,micro_pumas_cam.F90: line 1597,micron,,effective_radius_of_stratiform_cloud_ice_particle,X,X,,,from m_micro.meta file: cldreffi,,,,
pbuf_REL,Liquid effective drop radius,micro_pumas_cam.F90: line 1596,micron,,effective_radius_of_stratiform_cloud_liquid_water_particle,X,X,,,from m_micro.meta file: cldreffl,,,,
pbuf_RELVAR,relative variance of cloud water,micro_pumas_cam.F90: line 1417,,,relative_variance_of_subgrid_cloud_condensate_distribution,X,X,,,from m_micro.meta file: mg_qcvar,,,,
pbuf_RLIQBC,tphysbc reserve liquid,cam_dev/physpkg.F90: line 2495,,,,,,,,,,,,
pbuf_RNDST,radius of 4 dust bins for contact freezing,microp_aero.F90: line 490,,,,,,,,,,,,
pbuf_RPRDDP,dq/dt due to deep convective rainout,convect_shallow.F90: line 458,kg kg-1 s-1,X,tendency_of_precipitation_wrt_moist_air_and_condensed_water_due_to_deep_convection_excluding_subcloud_evaporation,X,,,,,,,,
pbuf_RPRDSH,dq/dt due to deep and shallow convective rainout,convect_shallow.F90: line 459,kg kg-1 s-1,X,tendency_of_precipitation_wrt_moist_air_and_condensed_water_due_to_shallow_convection_excluding_subcloud_evaporation,X,,,,,,,,
pbuf_RPRDTOT,RPRDDP + RPRDSH,convect_shallow.F90: line 719,kg kg-1 s-1,X,tendency_of_precipitation_wrt_moist_air_and_condensed_water_due_to_convection_excluding_subcloud_evaporation,X,,,,,,,,
pbuf_RTM,mean moisture mixing ratio,clubb_intr.F90: line 2325,,,sum_of_water_vapor_and_cloud_liquid_mixing_ratio_wrt_dry_air,X,,,,,,,,
pbuf_RTP2_nadv,moisture variance,clubb_intr.F90: line 2294,kg2 kg-2,,advected_variance_of_sum_of_water_vapor_and_cloud_liquid_mixing_ratio_wrt_dry_air,X,,,,,,,,
pbuf_RTP3,moisture 3rd order,clubb_intr.F90: line 2396,kg3 kg-3,,third_moment_of_sum_of_water_vapor_and_cloud_liquid_mixing_ratio_wrt_dry_air,X,,,,,,,,
pbuf_RTPTHLP_nadv,covariance of thetal and qt,clubb_intr.F90: line 2297,kg kg-1 K-1,,covariance_of_sum_of_water_vapor_and_cloud_liquid_mixing_ratio_wrt_dry_air_and_liquid_water_potential_temperature,X,,,,,,,,
pbuf_RTPTHVP,r_t'th_v' (momentum levels),clubb_intr.F90: line 2327,kg kg-1 K-1,,covariance_of_sum_of_water_vapor_and_cloud_liquid_mixing_ratio_wrt_dry_air_and_virtual_potential_temperature,X,,,,,,,,
pbuf_SADICE,Ice surface area density,micro_pumas_cam.F90: line 1598,cm2 cm-3,,ice_surface_area_density_for_microphysics,,,,,,,,,
pbuf_SADSNOW,Snow surface area density,micro_pumas_cam.F90: line 1599,cm2 cm-3,,snow_surface_area_density_for_microphysics,,,,,,,,,
pbuf_SGH,standard deviation of orography,gw_drag.F90: line 1330,m,,,,,,,,,,,
pbuf_SGH30,standard deviation of subgrid topographic height at 30 s horizontal area,unicon.F90: line 565,m,,,,,,,,,,,
pbuf_SH_CLDICE1,shallow convection gbx ice cld mixing ratio for COSP,conv_water.F90: line 226,,,,,,,,,,,,
pbuf_SH_CLDLIQ1,shallow convection gbx liq cld mixing ratio for COSP,conv_water.F90: line 225,,,,,,,,,,,,
pbuf_SH_FRAC,shallow convection cloud fraction,conv_water.F90: line 218,,,,,,,,,,,,
pbuf_SNOW_DP,snow from ZM convection,convect_deep.F90: line 206,m s-1,,lwe_frozen_precipitation_rate_at_surface_due_to_deep_convection,X,,"lwe_convective_snowfall_rate (iap_dom), lwe_snowfall_rate (git repo)",,,,,,
pbuf_SNOW_PCW,Sfc flux of snow from microphysics,micro_pumas_cam.F90: line 1408,m s-1,,lwe_snow_precipitation_rate_at_surface_due_to_microphysics,,,,,,,,,
pbuf_SNOW_SED,Surface flux of cloud ice from sedimentation,micro_pumas_cam.F90: line 1406,,,lwe_cloud_ice_sedimentation_rate_at_surface_due_to_microphysics,,,,,,,,,
pbuf_SNOW_SH,shallow convective snow rate at surface,convect_shallow.F90: line 408,m s-1,,,,,,,,,,,
pbuf_SNOW_STR,[Total] Sfc flux of snow from stratiform,micro_pumas_cam.F90: line 1404,m s-1,,lwe_snow_and_cloud_ice_precipitation_rate_at_surface_due_to_microphysics ,,,,,,,,,
pbuf_SO4DRYVOL,single-particle-mean so4 dry volume,modal_aero_calcsize.F90: line 1431,m3,,,,,,,,,,,
pbuf_SRFOZONE,surface ozone,chemistry.F90: line 817,,,,,,,,,,,,
pbuf_TEOUT,total energy for global fixer in next timestep,physpkg.F90: line 1856,J m-2,,,,,,,,,,,
pbuf_THLM,mean temperature,clubb_intr.F90: line 2324,K,,liquid_water_potential_temperature,X,,,,,,,,
pbuf_THLP2_nadv,temperature variance,clubb_intr.F90: line 2295,K2,,advected_variance_of_liquid_water_potential_temperature,X,,,,,,,,
pbuf_THLP3,temperature third order,clubb_intr.F90: line 2297,K3,,third_moment_of_liquid_water_potential_temperature,X,,,,,,,,
pbuf_THLPTHVP,th_l'th_v' (momentum levels),clubb_intr.F90: line 2307,K2,,covariance_of_liquid_water_potential_temperature_and_virtual_potential_temperature,X,,,,,,,,
pbuf_TREFMNAV,daily minimum reference temperature,cam_diagnostics.F90: line 1815,K,,,,,,,,,,,
pbuf_TREFMXAV,daily maximum reference temperature,cam_diagnostics.F90: line 1816,K,,,,,,,,,,,
pbuf_T_TTEND,temperature from previous timestep?,addfld call in cam_diagnostics: line 154,,,,,,,,,,,,
pbuff_T_UTEND,u wind from previous timestep?,addfld call in cam_diagnostics: line 155,,,,,,,,,,,,
pbuf_T_VTEND,v wind from previous timestep?,addfld call in cam_diagnostics: line 156,,,,,,,,,,,,
pbuf_UM,mean east-west wind,clubb_intr.F90: line 2328,m s-1,,eastward_wind,X,,,,,,,,
pbuf_UP2_nadv,east-west wind variance,clubb_intr.F90: line 2298,m2 s-2,,advected_variance_of_eastward_wind,X,,,,,,,,
pbuf_UP3,east-west wind 3rd order,clubb_intr.F90: line 2300,m3 s-3,,third_moment_of_eastward_wind,X,,,,,,,,
pbuf_UPRCP,< u' r_c' > (momentum levels),clubb_intr.F90: line 2316,,,covariance_of_eastward_wind_and_cloud_liquid_mixing_ratio_wrt_dry_air,X,,,,,,,,
pbuf_UPWP,east-west momentum flux,clubb_intr.F90: line 2302,m2 s-2,,covariance_of_eastward_wind_and_cloud_liquid_mixing_ratio_wrt_dry_air_and_vertical_velocity,X,,,,,,,,
pbuf_VM,mean north-south wind,clubb_intr.F90: line 2329,m s-1,,northward_wind,X,,,,,,,,
pbuf_VOLC_MMR1,prescribed volcanic aerosol dry mass mixing ratio in Mode 1,prescribed_strataero.F90: line 272,kg kg-1,,,,,,,,,,,
pbuf_VOLC_MMR2,prescribed volcanic aerosol dry mass mixing ratio in Mode 2,prescribed_strataero.F90: line 273,kg kg-1,,,,,,,,,,,
pbuf_VOLC_MM3,prescribed volcanic aerosol dry mass mixing ratio in Mode 3,prescribed_strataero.F90: line 274,kg kg-1,,,,,,,,,,,
pbuf_VOLC_RAD_GEOM1,volcanic aerosol geometric-mode radius in Mode 1,prescribed_strataero.F90: line 275,m,,,,,,,,,,,
pbuf_VOLC_RAD_GEOM2,volcanic aerosol geometric-mode radius in Mode 2,prescribed_strataero.F90: line 276,m,,,,,,,,,,,
pbuf_VOLC_RAD_GEOM3,volcanic aerosol geometric-mode radius in Mode 3,prescribed_strataero.F90: line 277,m,,,,,,,,,,,
pbuf_VOLC_SAD,stratospheric aerosol surface area density,prescribed_strataero.F90: line 291,cm2 cm-3,,,,,,,,,,,
pbuf_VP2_nadv,north-sound wind variance,clubb_intr.F90: line 2299,m2 s-2,,advected_variance_of_northward_wind,,,,,,,,,
pbuf_VP3,north-south wind 3rd order,clubb_intr.F90: line 2301,m3 s-3,,third_order_moment_of_northward_wind,,,,,,,,,
pbuf_VPRCP,< v' r_c' > (momentum levels),clubb_intr.F90: line 2317,,,covariance_of_northward_wind_and_cloud_liquid_mixing_ratio_wrt_dry_air,,,,,,,,,
pbuf_VPWP,north-south momentum flux,clubb_intr.F90: line 2303,m2 s-2,,covariance_of_northward_wind_and_vertical_velocity,,,,,,,,,
pbuf_WETDENS_AP,,modal_aero_wateruptake.F90: line 41,,,,,,,,,,,,
pbuf_WP2RTP,w'^2 th_v' (thermodynamic levels),clubb_intr.F90: line 2314,,,third_order_moment_of_variance_of_vertical_velocity_and_sum_of_water_vapor_and_cloud_liquid_mixing_ratio_wrt_dry_air,X,,,,,,,,
pbuf_WP2THLP,w'^2 thl' (thermodynamic levels),clubb_intr.F90: line 2315,,,third_order_moment_of_variance_of_vertical_velocity_and_liquid_water_potential_temperature,X,,,,,,,,
pbuf_WP2THVP,second order buoyancy term,clubb_intr.F90: line 2305,m2 s-2 K,,third_order_moment_of_variance_of_vertical_velocity_and_virtual_potential_temperature,X,,,,,,,,
pbuf_WP2UP2,w'^2 u'^2 (momentum levels),clubb_intr.F90: 2322,,,fourth_order_moment_of_variance_of_vertical_velocity_and_variance_of_eastward_wind,X,,,,,,,,
pbuf_WP2VP2,w'^2 v'^2 (momentum levels),clubb_intr.F90: 2323,,,fourth_order_moment_of_variance_of_vertical_velocity_and_variance_of_northward_wind,X,,,,,,,,
pbuf_WP2_nadv,vertical velocity variance,clubb_intr.F90: 2283,m2 s-2,,advected_variance_of_vertical_velocity,X,,,,,,,,
pbuf_WP3_nadv,third moment of vertical velocity,clubb_intr.F90: 2284,m3 s-3,,advected_third_order_moment_of_vertical_velocity,X,,,,,,,,
pbuf_WP4,w'^4 (momentum levels),clubb_intr.F90: line 2319,,,fourth_order_moment_of_vertical_velocity,X,,,,,,,,
pbuf_WPRTP_nadv,turbulent flux of moisture,clubb_intr.F90: line 2292,m s-1 kg kg-1,,advected_covariance_of_vertical_velocity_and_sum_of_water_vapor_and_cloud_liquid_mixing_ratio_wrt_dry_air,X,,,,,,,,
pbuf_WPTHLP_nadv,turbulent flux of thetal,clubb_intr.F90: line 2291,m s-1 K,,advected_covariance_of_vertical_velocity_and_liquid_water_potential_temperature,X,,,,,,,,
pbuf_WPTHVP,Buoyancy Flux,clubb_intr.F90: line 1686,W m-2,,advected_covariance_of_vertical_velocity_and_virtual_potential_temperature,X,,,,,,,,
pbuf_WPUP2,w'u'^2 (thermodynamic levels),clubb_intr.F90: line 2320,,,third_order_moment_of_vertical_velocity_and_variance_of_eastward_wind,X,,,,,,,,
pbuf_WPVP2,w'v^2 (thermodynamic levels),clubb_intr.F90: line 2321,,,third_order_moment_of_vertical_velocity_and_variance_of_northward_wind,X,,,,,,,,
pbuf_WSEDL,Sedimentation velocity of liquid stratus cloud droplet,micro_pumas_cam.F90: line 1571,m s-1,,,,,,,,,,,
pbuf_ZM_DP,Delta pressure between interfaces,modal_aero_convproc.F90: line 556,,hPa,pressure_thickness_for_deep_convection_for_convective_columns,X,,"pressure_thickness_in_hPa (iap_dom) , air_pressure_thickness (in github repo)",X,,,,,
pbuf_ZM_DSUBCLD,Delta pressure from cloud base to sfc,modal_aero_convproc.F90: line 557,,hPa,pressure_thickness_for_subcloud_layer_for_deep_convection_for_convective_columns,X,,subcloud_pressure_thicknes_in_hPa (iap_dom),X,,,,,
pbuf_ZM_DU,Mass detrain rate from updraft,modal_aero_convproc.F90: line 552,s-1,X,atmosphere_detrainment_convective_mass_flux_for_deep_convection_for_convective_columns,X,,Clean-up - skip gather,^  (Need to add new CCPP dimension for all convective columns),,,,,
pbuf_ZM_ED,Mass entrain rate into downdraft,modal_aero_convproc.F90: line 554,s-1,X,atmosphere_downdraft_entrainment_convective_mass_flux_for_deep_convection_for_convective_columns,X,,Clean-up - skip gather,|,,,,,
pbuf_ZM_EU,Mass entrain rate into updraft,modal_aero_convproc.F90: line 553,s-1,X,atmosphere_updraft_entrainment_convective_mass_flux_for_deep_convection_for_convective_columns,X,,Clean-up - skip gather,ask about removing gather,,,,,
pbuf_ZM_IDEEP,Gathering array,modal_aero_convproc.F90: line 561,index,X,horizontal_index_of_convective_columns_for_deep_convection_for_convective_columns,X,,Clean-up - skip gather,"(Rich first, then Francis)",,,,,
pbuf_ZM_JT,wg top  level index of deep cumulus convection,zm_conv.F90: line 353,index,X,vertical_index_at_top_of_deep_convection_for_convective_columns,X,,Clean-up - skip gather,|,,,,,
pbuf_ZM_MAXG,wg gather values of maxi,zm_conv.F90: line 354,index,X,vertical_index_of_deep_convection_launch_level_for_convective_columns,X,,Clean-up - skip gather,v,,,,,
pbuf_ZM_MU,Updraft mass flux (positive),modal_aero_convproc.F90: line 550,hPa s-1,X,atmosphere_updraft_convective_mass_flux_for_deep_convection_for_convective_columns,X,,Clean-up - skip gather,X,,,,,
pbuf_ZM_MD,Downdraft mass flux (negative),modal_aero_convproc.F90: line 551,hPa s-1,X,atmosphere_downdraft_convective_mass_flux_for_deep_convection_for_convective_columns,X,,Clean-up - skip gather,X,,,,,
pbuf_ZTODT,timestep to send to SILHS,clubb_intr.F90: line 2327,s,X,timestep_for_physics,X,,,,,,,,
pbuf_am_evp_st,Area over which precip evaporates,micro_pumas_cam.F90: line 1448,,,microphysics_precipitation_evaporation_area,,,,,,,,,
pbuf_bc_c1,bc_c1 in cloud water,aero_model.F90: line 502?,,,,,,,,,,,,
pbuf_bc_c4,bc_c4 in cloud water,aero_model.F90: line 502?,,,,,,,,,,,,
pbuf_dragblj,Beljaars SGO form drag profile,vertical_diffusion.F90: line 729,s-1,,turbulent_orographic_form_drag_coefficent,,,,,,,,,
pbuf_dst_c1,dst_c1 in cloud water,aero_model.F90: line 502?,,,,,,,,,,,,
pbuf_dst_c2,dst_c2 in cloud water,aero_model.F90: line 502?,,,,,,,,,,,,
pbuf_dst_c3,dst_c3 in cloud water,aero_model.F90: line 502?,,,,,,,,,,,,
pbuf_evprain_st,Evaporation rate of stratiform rain,micro_pumas_cam.F90: line 1400,kg kg-1 s-1,,stratiform_rain_evaporation_rate,,,,,,,,,
pbuf_evpsnow_st,Evaporation rate of stratiform snow,micro_pumas_cam.F90: line 1401,kg kg-1 s-1,,stratiform_snow_evaporation_rate,,,,,,,,,
pbuf_ksrftms,Turbulent mountain stress surface drag coefficient,vertical_diffusion.F90: line 723,kg s-1 m-2,,turbulent_orographic_form_drag_coefficent_at_surface,,,,,,,,,
pbuf_kvh,Eddy diffusivity for heat,vertical_diffusion.F90: line 737,m2 s-1,,eddy_heat_diffusivity_at_interface,,,,,,,,,
pbuf_kvm,Eddy diffusivity for momentum,vertical_diffusion.F90: line 738,m2 s-1,,eddy_momentum_diffusivity_at_interface,,,,,,,,,
pbuf_kvt,Molecular kinematic conductivity for temperature,vertical_diffusion.F90: line 735,m2 s-1,,molecular_kinematic_temperature_conductivity_at_interface,,,,,,,,,
pbuf_ncl_c1,ncl_c1 in cloud water,aero_model.F90: line 502?,,,,,,,,,,,,
pbuf_ncl_c2,ncl_c2 in cloud water,aero_model.F90: line 502?,,,,,,,,,,,,
pbuf_ncl_c3,ncl_c3 in cloud water,aero_model.F90: line 502?,,,,,,,,,,,,
pbuf_num_c1,num_c1 in cloud water,aero_model.F90: line 502?,,,,,,,,,,,,
pbuf_num_c2,num_c2 in cloud water,aero_model.F90: line 502?,,,,,,,,,,,,
pbuf_num_c3,num_c3 in cloud water,aero_model.F90: line 502?,,,,,,,,,,,,
pbuf_num_c4,num_c4 in cloud water,aero_model.F90: line 502?,,,,,,,,,,,,
pbuf_ozone,ozone,prescribed_ozone.F90: line 53,,,,,,,,,,,,
pbuf_pblh,planetary boundary layer height,clubb_intr.F90: line 2340,m,X,atmosphere_boundary_layer_thickness,X,X,,,,,,,
pbuf_pdf_zm_mixt_frac,work pointer for pdf_params_zm,clubb_intr.F90: line 2309,,,weight_for_pdfs_in_double_gaussian,X,,,,,,,,
pbuf_pdf_zm_var_w_1,work pointer for pdf_params_zm,clubb_intr.F90: line 2309,,,variance_of_vertical_velocity_in_first_gaussian_pdf,X,,,,,,,,
pbuf_pdf_zm_var_w_2,work pointer for pdf_params_zm,clubb_intr.F90: line 2309,,,variance_of_vertical_velocity_in_second_gaussian_pdf,X,,,,,,,,
pbuf_pdf_zm_w_1,work pointer for pdf_params_zm,clubb_intr.F90: line 2309,,,vertical_velocity_in_first_gaussian_pdf_at_interface,X,,,,,,,,
pbuf_pdf_zm_w_2,work pointer for pdf_params_zm,clubb_intr.F90: line 2309,,,vertical_velocity_in_second_gaussian_pdf_at_interface,X,,,,,,,,
pbuf_pom_c1,pom_c1 in cloud water,aero_model.F90: line 502?,,,,,,,,,,,,
pbuf_pom_c4,pom_c4 in cloud water,aero_model.F90: line 502?,,,,,,,,,,,,
pbuf_qpert,PBL perturbation specific humidity,convect_shallow.F90: line 416,kg kg-1,,convective_water_vapor_mixing_ratio_wrt_moist_air_and_condensed_water_perturbation_at_surface,,,,,,,,,
pbuf_rtp2_mc_zt,SILHS covariance contributions / rtp2 forcing,clubb_intr.F90: line 2356,,,Skipping SILHS for now,,,,Consult with Vince Larson on future of SILHS?,,,,,
pbuf_rtpthlp_mc_zt,SILHS covariance contributions / rtpthlp forcing,clubb_intr.F90: line 2356,,,Skipping SILHS for now,,,,Consult with Vince Larson on future of SILHS?,,,,,
pbuf_smaw,Normalized Galperin instability function ( 0<= <=4.964 and 1 at neutral ),turbulence_type_at_interface,,,normalized_galperin_stability_function_for_momentum_at_interfaces,,,,,,,,,
pbuf_so4_c1,so4_c1 in cloud water,aero_model.F90: line 502?,,,,,,,,,,,,
pbuf_so4_c2,so4_c2 in cloud water,aero_model.F90: line 502?,,,,,,,,,,,,
pbuf_so4_c3,so4_c3 in cloud water,aero_model.F90: line 502?,,,,,,,,,,,,
pbuf_soa_c1,soa_c1 in cloud water,aero_model.F90: line 502?,,,,,,,,,,,,
pbuf_soa_c2,soa_c2 in cloud water,aero_model.F90: line 502?,,,,,,,,,,,,
pbuf_taubljx,U component of turbulent mountain stress,vertical_diffusion.F90: line 730,N m-2,,eastward_turbulent_orographic_form_drag_stress_at_surface,,,,,,,,,
pbuf_taubljy,V component of turbulent mountain stress,vertical_diffusion.F90: line 731,N m-2,,northward_turbulent_orographic_form_drag_stress_at_surface,,,,,,,,,
pbuf_tauresx,Reserved surface stress at previous time step,diffusion_solver.F90: line 237,,,eastward_reserved_stress_at_surface_on_previous_timestep,,,,,,,,,
pbuf_tauresy,Reserved surface stress at current time step,diffusion_solver.F90: line 238,,,northward_reserved_stress_at_surface_on_previous_timestep,,,,,,,,,
pbuf_tautmsx,Implicit zonal turbulent mountain surface stress,diffusion_solver.F90: line 238,N m-2,,eastward_turbulent_orographic_form_drag_stress_at_surface,,,,,,,,,
pbuf_tautmsy,Implicit meridional turbulent mountain surface stress,diffusion_solver.F90: line 239,N m-2,,northward_turbulent_orographic_form_drag_stress_at_surface,,,,,,,,,
pbuf_thlp2_mc_zt,SILHS covariance contributions / thlp2 forcing,clubb_intr.F90: line 2356,,,Skipping SILHS for now,,,,Consult with Vince Larson on future of SILHS?,,,,,
pbuf_tke,Turbulent kinetic energy,vertical_diffusion.F90: line 712,m2 s-2,,turbulent_kinetic_energy_at_interface,,,,,,,,,
pbuf_tpert,Perturbation temperature (eddies in PBL),vertical_diffusion.F90: line 477,K,X,convective_temperature_perturbation_due_to_pbl_eddies,X,,,,,,,,
pbuf_turbtype,Turbulent interface types,vertical_diffusion.F90: line 713,unitless,,turbulence_type_at_interface,,,,,,,,,
pbuf_wprtp_mc_zt,SILHS covariance contributions / wprtp forcing,clubb_intr.F90: line 2356,,,Skipping SILHS for now,,,,Consult with Vince Larson on future of SILHS?,,,,,
pbuf_wpthlp_mc_zt,SILHS covariance contributions / wpthlp forcing,clubb_intr.F90: line 2356,,,Skipping SILHS for now,,,,Consult with Vince Larson on future of SILHS?,,,,,
STATE VARIABLES,,,,,,,,,,,,,,
state_exner,,,,,inverse_exner_function_wrt_surface_pressure,,,See issue: https://github.com/ESCOMP/CAM/issues/753,,,,,,
state_lnpint,,,,,ln_of_air_pressure_at_interface,,,ln_air_pressure_at_interface,"remove ""of""",,,,,
state_lnpintdry,,,,,ln_of_air_pressure_of_dry_air_at_interface,,,ln_air_pressure_of_dry_air_at_interface,"remove ""of""",,,,,
state_lnpmid,,,,,ln_of_air_pressure,,,ln_air_pressure,"remove ""of""",,,,,
state_lnpmiddry,,,,,ln_of_air_pressure_of_dry_air,,,ln_air_pressure_of_dry_air_at_interface,"remove ""of""",,,,,
state_omega,,,Pa s-1,,lagrangian_tendency_of_air_pressure,,X,,,,,,,
state_pdel,,,Pa,X,air_pressure_thickness,X,X,,,,,,,
state_pdeldry,,,Pa,X,air_pressure_thickness_of_dry_air,,,air_pressure_thickness_of_dry_air,"add ""air""",,,,,
state_phis,,,m2 s-2,X,surface_geopotential,X,X,,fix units! m2 m-2 => m2 s-2; use surface_geopotential,,,,,
state_pint,,,Pa,X,air_pressure_at_interface,,X,,,,,,,
state_pintdry,,,Pa,X,air_pressure_of_dry_air_at_interface,,X,,,,,,,
state_pmid,,,Pa,X,air_pressure,,X,,,,,,,
state_pmiddry,,,Pa,X,air_pressure_of_dry_air,,X,,,,,,,
state_ps,,,Pa,,surface_air_pressure,,X,,,,,,,
state_psdry,,,Pa,,surface_pressure_of_dry_air,,X,,,,,,,
state_rpdel,,,Pa-1,,reciprocal_of_air_pressure_thickness,,,reciprocal_of_air_pressure_thickness,"add ""air"" - fix units! Pa-1",,,,,
state_rpdeldry,,,Pa-1,,reciprocal_of_air_pressure_thickness_of_dry_air,,,reciprocal_of_air_pressure_thickness_of_dry_air,"add ""air"" - fix units! Pa-1",,,,,
state_s,,,J kg-1,X,dry_static_energy,,X,,,,,,,
state_t,,,K,,air_temperature,,X,,,,,,,
state_te_cur,,,,,column_integrated_total_kinetic_and_static_energy,,-,change to vertically_integrated_energies_of_current_state_in_cam?,add J m-2 units,,,,,
state_te_ini,,,,,column_integrated_total_kinetic_and_static_energy_of_initial_state,,-,change to vertically_integrated_energies_of_initial_state_in_cam?,add J m-2 units,,,,,
state_tw_cur,,,kg m-2,,column_integrated_total_water,,-,change to vertically_integrated_total_water_of_current_state,add kg m-2 units,,,,,
state_tw_ini,,,kg m-2,,column_integrated_total_water_of_initial_state,,-,vertically integrated_total_water_of_initial_state,add kg m-2 units,,,,,
state_u,,,m s-1,,eastward_wind,X,,,,,,,,
state_v,,,m s-1,,northward_wind,X,,,,,,,,
state_zi,,,m,X,geopotential_height_wrt_surface_at_interface,X,,,,,,,,
state_zm,,,m,X,geopotential_height_wrt_surface,,X,,,,,,,
TENDENCY VARIABLES,,,,,,,,,,,,,,
tend_dtdt,,,K s-1,,tendency_of_air_temperature_due_to_model_physics,,X,,,,,,,
tend_dudt,,,,,tendency_of_eastward_wind_due_to_model_physics,X,,,add m s-2 units,,,,,
tend_dvdt,,,,,tendency_of_northward_wind_due_to_model_physics,X,,,add m s-2 units,,,,,
tend_flx_net,,physics_types.F90: line 128,,,,,,,,,,,,
tend_te_tnd,cumulative boundary flux of total energy,physics_types.F90: line 130,,,,,,,,,,,,
tend_tw_tend,cumulative boundary flux of total water,physics_types.F90: line 131,,,,,,,,,,,,
