Snapshot Variable Name,Snapshot Longname,Longname Location,Snapshot Units,Accepted Units,CCPP Standard Name,Accepted,Pushed to ESCOMP,Flag for future work,Flag to skip/deprecate,Notes,Andrew G Description,,,
cam_out_bcphidry,dry deposition of hydrophilic black carbon,camsrfexch.F90: line 66,kg m-2 s-1,,dry_deposition_flux_of_hydrophilic_black_carbon_at_surface,,,,,,,,,
cam_out_bcphiwet,wet deposition of hydrophilic black carbon,camsrfexch.F90: line 65,kg m-2 s-1,,wet_deposition_flux_of_hydrophilic_black_carbon_at_surface,,,,,,,,,
cam_out_bcphodry,dry deposition of hydrophobic black carbon,camsrfexch.F90: line 67,kg m-2 s-1,,dry_deposition_flux_of_hydrophobic_black_carbon_at_surface,,,,,,,,,
cam_out_dstdry1,dry deposition of dust (bin1),camsrfexch.F90: line 72,,,,,,,,,,,,
cam_out_dstdry2,dry deposition of dust (bin2),camsrfexch.F90: line 71,,,,,,,,,,,,
cam_out_dstdry3,dry deposition of dust (bin3),camsrfexch.F90: line 74,,,,,,,,,,,,
cam_out_dstdry4,dry deposition of dust (bin4),camsrfexch.F90: line 73,,,,,,,,,,,,
cam_out_dstwet1,wet deposition of dust (bin1),camsrfexch.F90: line 76,,,,,,,,,,,,
cam_out_dstwet2,wet deposition of dust (bin2),camsrfexch.F90: line 75,,,,,,,,,,,,
cam_out_dstwet3,wet deposition of dust (bin3),camsrfexch.F90: line 78,,,,,,,,,,,,
cam_out_dstwet4,wet deposition of dust (bin4),camsrfexch.F90: line 77,,,,,,,,,,,,
cam_out_netsw,surface solar absorbed flux (shortwave),radiation.F90: line 771,,,,,,,,,,,,
cam_out_ocphidry,dry deposition of hydrophilic organic carbon,camsrfexch.F90: line 69,kg m-2 s-1,,dry_deposition_flux_of_hydrophilic_organic_carbon_at_surface,,,,,,,,,
cam_out_ocphiwest,wet deposition of hydrophilic organic carbon,camsrfexch.F90: line 68,kg m-2 s-1,,wet_deposition_flux_of_hydrophilic_organic_carbon_at_surface,,,,,,,,,
cam_out_ocphodry,dry deposition of hydrophobic organic carbon,camsrfexch.F90: line 70,kg m-2 s-1,,dry_deposition_flux_of_hydrophobic_organic_carbon_at_surface,,,,,,,,,
cam_out_precc,convective precipitation rate,camsrfexch.F90: line 520,m s-1,X,lwe_convective_precipitation_rate_at_surface,X,,,,,,,,
cam_out_precl,stratiform precipitation rate,camsrfexch.F90: line 520,m s-1,X,lwe_large_scale_precipitation_rate_at_surface,X,,,,,,,,
cam_out_precsc,convection snow rate,camsrfexch.F90: line 520,m s-1,X,lwe_convective_snowfall_rate_at_surface,X,,,,,,,,
cam_out_precsl,stratiform snow rate,camsrfexch.F90: line 520,m s-1,X,lwe_large_scale_snowfall_rate_at_surface,X,,,,,,,,
cam_out_soll,direct solar rad on surface (>=0.7),radsw.F90: line 153,W m-2,X,,,,Will find in RRTMGP,,,,,,
cam_out_solld,diffuse solar rad on surface (>=0.7),radsw.F90: line 155,W m-2,X,,,,Will find in RRTMGP,,,,,,
cam_out_sols,direct solar rad on surface (<0.7),radsw.F90: line 152,W m-2,X,,,,Will find in RRTMGP,,,,,,
cam_out_solsd,diffuse solar rad on surface (<0.7),radsw.F90: line 154,W m-2,X,,,,Will find in RRTMGP,,,,,,
CONSTITUENT VARIABLES,,,,,,,,,,,,,,
pcnst,number of constituents,,count,X,,,,number_of_tracers (iap_dom and github),,,,,,
cnst_CLDICE,cloud ice amount,micro_pumas_cam.F90: line 120,kg kg-1,X,cloud_ice_mixing_ratio_wrt_moist_air_and_condensed_water,,,"OK name, but not in repo (have wrt_dry_air and interstitial)",,,,,,
cnst_CLIDLIQ,cloud liquid amount,micro_pumas_cam.F90: line 120,kg kg-1,X,cloud_liquid_water_mixing_ratio_wrt_moist_air_and_condensed_water,,X,,,,,,,
cnst_DMS,,,kg kg-1,X,,,,,,,,,,
cnst_GRAUQM,graupel amount,micro_pumas_cam.F90: line 120,kg kg-1,X,graupel_water_mixing_ratio_wrt_moist_air,,X,,,,,,,
cnst_H2O2,,,kg kg-1,X,,,,,,,,,,
cnst_H2SO4,,,kg kg-1,X,,,,,,,,,,
cnst_NUMGRA,graupel number,micro_pumas_cam.F90: line 120,kg-1,X,mass_number_concentration_of_graupel_wrt_moist_air,X,,,,,,,,
cnst_NUMICE,cloud ice number,micro_pumas_cam.F90: line 120,kg-1,X,mass_number_concentration_of_ice_wrt_moist_air,X,,,,,,,,
cnst_NUMLIQ,cloud liquid number,micro_pumas_cam.F90: line 120, kg-1,X,mass_number_concentration_of_cloud_liquid_wrt_moist_air,X,,,,,,,,
cnst_NUMRAI,rain number,micro_pumas_cam.F90: line 120,kg-1,X,mass_number_concentration_of_rain_wrt_moist_air,X,,,,,,,,
cnst_NUMSNO,snow number,micro_pumas_cam.F90: line 120,kg-1,X,mass_number_concentration_of_snow_wrt_moist_air,X,,,,,,,,
"cnst_Q and state%q(:,:,1)",water vapor amount,micro_pumas_cam.F90: line 120,kg kg-1,X,water_vapor_mixing_ratio_wrt_moist_air_and_condensed_water,,X,,,,,,,
cnst_RAINQM,rain amount,micro_pumas_cam.F90: line 120,kg kg-1,X,rain_mixing_ratio_wrt_moist_air_and_condensed_water,,-,"drop ""water"" for rain and snow",,,,,,
